prompt_id,prompt,q_text,q_image,q_audio,q_combined,nb_p_good,lr_gr
1,A fox exploring a cave in a snowy village,0.839816,0.472127287863875,0.862416035808875,0.653,0.9869,0.5244
2,A flamingo blacksmith exploring a cave,0.836263,0.436093930382,0.8819092736755,0.637,0.965,0.6719
3,A mantis sailing a paper boat on a wooden bridge,0.841654,0.449645108671875,0.8611945812955,0.6416,0.9857,0.507
4,"A panda brewing coffee at dawn in a neon nightclub, photorealistic",0.830942,0.499144255662,0.8538280439979999,0.6628,0.948,0.4016
5,A chameleon archer brewing coffee at dawn,0.844609,0.506517395344875,0.8686621640995,0.6734,0.9959,0.6273
6,A mantis carpenter chasing fireflies,0.825673,0.4354886583875,0.841404361769875,0.6258,0.6383,0.205
7,A cheerful butterfly professor with a paper lantern,0.82542,0.47824559735550004,0.8738730339795,0.6542,0.8277,0.5443
8,"A hippo skateboarding down a hill, in warm golden light",0.84751,0.472967199023875,0.8831311044198751,0.6596,0.9963,0.767
9,"A toucan reading under an umbrella, in a dreamy haze",0.838554,0.442526029678,0.8500471954638751,0.6348,0.9704,0.3786
10,A sloth solving a crossword at a mountain lake at sunrise,0.836536,0.511506827192,0.873699560718,0.6747,0.9874,0.6368
11,A lamb and a ant dancing in the rain,0.826722,0.47813554881487497,0.8480405231848751,0.6496,0.8329,0.3047
12,A kangaroo dj at a mountain lake at sunrise,0.832503,0.512613935546875,0.864534303746875,0.6723,0.9704,0.5213
13,"A llama reading tarot cards in a sunflower field, in a cozy hand-drawn",0.855959,0.474207091838,0.8957225289520001,0.6651,0.9984,0.925
14,A firefly and a goose building a birdhouse,0.824757,0.44729738104800004,0.894117696073875,0.6419,0.7548,0.7246
15,A otter rowing across a misty lake under a starry sky,0.840308,0.492078033671875,0.8701643558195,0.665,0.9914,0.6142
16,A tiny llama holding a wooden music box in a cherry blossom park,0.853549,0.44165895044887504,0.888292080546875,0.6461,0.9966,0.8189
17,A wolf sipping tea in a garden in an autumn park,0.840809,0.4836418589555,0.879656072398,0.6626,0.992,0.7071
18,A cat and a bat meditating under a waterfall,0.842015,0.476092017971875,0.882892102392,0.6596,0.9928,0.7417
19,A seahorse botanist ice skating at night,0.826807,0.443979875518,0.878310819121875,0.6377,0.8043,0.5765
20,A ant gardening on a balcony on a quiet beach at dusk,0.827927,0.40255510083199997,0.874171499908875,0.6157,0.6856,0.5073
21,A cat perfumer solving a crossword,0.821497,0.47923055942200005,0.842480335498875,0.6476,0.549,0.2105
22,A tiny ladybug holding a wooden music box on a train platform,0.854073,0.40029211444887497,0.8806601802195001,0.6232,0.9915,0.7058
23,A raccoon and a peacock painting a mural,0.832437,0.463107972788875,0.871709414814875,0.648,0.9495,0.5651
24,A lion and a seahorse repairing a pocket watch,0.841213,0.458584715173875,0.850736286796875,0.6441,0.9852,0.4112
25,A dragonfly coach building a birdhouse,0.838129,0.445436433834875,0.844145614302,0.6351,0.9678,0.3232
26,A toucan and a pufferfish planting a bonsai tree,0.842935,0.456241323249875,0.872795182753875,0.6476,0.9905,0.6319
27,A cheerful narwhal fisherman with a tiny umbrella,0.844799,0.444715293769875,0.8850208655920001,0.6445,0.9921,0.7553
28,A ladybug dj dancing in the rain,0.829717,0.479712245022,0.8799284861688751,0.6574,0.9357,0.6386
29,"A moth planting a bonsai tree in a candlelit cafe, photorealistic",0.837127,0.5233834505995,0.862450525924875,0.6789,0.9884,0.5342
30,"A iguana tending a beehive, in soft pastel colors",0.847538,0.464267971118,0.8951570443098751,0.6574,0.9963,0.8855
31,A lemur tailor in a lantern-lit alley,0.831761,0.524640396542,0.8402973749195,0.6737,0.9596,0.291
32,"A hippo sketching in a cafe, in soft pastel colors",0.838866,0.43996413368799997,0.886084380721875,0.6406,0.9799,0.7326
33,"A wolf sketching in a cafe in an autumn park, in gentle morning light",0.842844,0.5170983676218749,0.8982154989874999,0.6841,0.9966,0.9241
34,A tiny beetle holding a paper lantern on a train platform,0.851581,0.45276178754999996,0.894496076718,0.6525,0.9969,0.8854
35,A newt reading under an umbrella in a snowy village,0.836136,0.49239885027987496,0.8614094914880001,0.6623,0.9811,0.505
36,A lemur and a hamster forging a silver key,0.840483,0.519782398558,0.840215847074875,0.6737,0.9912,0.3414
37,"A kangaroo reading a giant book, in warm golden light",0.848338,0.45775837134387504,0.8960473267468749,0.6544,0.9962,0.8935
38,"A chameleon flying a kite in a storm, in warm golden light",0.844606,0.4393824552138749,0.8731739776995,0.6394,0.9899,0.6309
